From	To	Species	Gene Name
COPZ2	51226	Homo sapiens	coatomer protein complex, subunit zeta 2
GNE	10020	Homo sapiens	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase
COPZ1	22818	Homo sapiens	coatomer protein complex, subunit zeta 1
DSCAML1	57453	Homo sapiens	Down syndrome cell adhesion molecule like 1
SLC30A1	7779	Homo sapiens	solute carrier family 30 (zinc transporter), member 1
PTPLA	9200	Homo sapiens	protein tyrosine phosphatase-like (proline instead of catalytic arginine), member A
SLC30A4	7782	Homo sapiens	solute carrier family 30 (zinc transporter), member 4
SLC30A5	64924	Homo sapiens	solute carrier family 30 (zinc transporter), member 5
SLC30A2	7780	Homo sapiens	solute carrier family 30 (zinc transporter), member 2
SLC30A3	7781	Homo sapiens	solute carrier family 30 (zinc transporter), member 3
AXIN2	8313	Homo sapiens	axin 2
SLC30A8	169026	Homo sapiens	solute carrier family 30 (zinc transporter), member 8
GML	2765	Homo sapiens	glycosylphosphatidylinositol anchored molecule like protein
SLC30A9	10463	Homo sapiens	solute carrier family 30 (zinc transporter), member 9
SLC30A6	55676	Homo sapiens	solute carrier family 30 (zinc transporter), member 6
AXIN1	8312	Homo sapiens	axin 1
SLC30A7	148867	Homo sapiens	solute carrier family 30 (zinc transporter), member 7
MEST	4232	Homo sapiens	mesoderm specific transcript homolog (mouse)
PTPN7	5778	Homo sapiens	protein tyrosine phosphatase, non-receptor type 7
PARD6A	50855	Homo sapiens	par-6 partitioning defective 6 homolog alpha (C. elegans)
MAFG	4097	Homo sapiens	v-maf musculoaponeurotic fibrosarcoma oncogene homolog G (avian)
PTPN6	5777	Homo sapiens	protein tyrosine phosphatase, non-receptor type 6
PARD6B	84612	Homo sapiens	par-6 partitioning defective 6 homolog beta (C. elegans)
MAFF	23764	Homo sapiens	v-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian)
PTPN9	5780	Homo sapiens	protein tyrosine phosphatase, non-receptor type 9
NFE2	4778	Homo sapiens	nuclear factor (erythroid-derived 2), 45kDa
PTPN3	5774	Homo sapiens	protein tyrosine phosphatase, non-receptor type 3
PTPN2	5771	Homo sapiens	protein tyrosine phosphatase, non-receptor type 2
MAFB	9935	Homo sapiens	v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)
PTPN5	84867	Homo sapiens	protein tyrosine phosphatase, non-receptor type 5 (striatum-enriched)
PTPN4	5775	Homo sapiens	protein tyrosine phosphatase, non-receptor type 4 (megakaryocyte)
MAFK	7975	Homo sapiens	v-maf musculoaponeurotic fibrosarcoma oncogene homolog K (avian)
GLS	2744	Homo sapiens	glutaminase
PARD6G	84552	Homo sapiens	par-6 partitioning defective 6 homolog gamma (C. elegans)
PTPN1	5770	Homo sapiens	protein tyrosine phosphatase, non-receptor type 1
KIAA0913	23053	Homo sapiens	KIAA0913
ECHDC1	55862	Homo sapiens	enoyl Coenzyme A hydratase domain containing 1
ECHDC2	55268	Homo sapiens	enoyl Coenzyme A hydratase domain containing 2
ECHDC3	79746	Homo sapiens	enoyl Coenzyme A hydratase domain containing 3
GSS	2937	Homo sapiens	glutathione synthetase
MEN1	4221	Homo sapiens	multiple endocrine neoplasia I
GSR	2936	Homo sapiens	glutathione reductase
TDO2	6999	Homo sapiens	tryptophan 2,3-dioxygenase
GSN	2934	Homo sapiens	gelsolin (amyloidosis, Finnish type)
FTSJ1	24140	Homo sapiens	FtsJ homolog 1 (E. coli)
TTC39C	125488	Homo sapiens	tetratricopeptide repeat domain 39C
IFNGR2	3460	Homo sapiens	interferon gamma receptor 2 (interferon gamma transducer 1)
FTSJ2	29960	Homo sapiens	FtsJ homolog 2 (E. coli)
TTC39B	158219	Homo sapiens	tetratricopeptide repeat domain 39B
FTSJ3	117246	Homo sapiens	FtsJ homolog 3 (E. coli)
IFNGR1	3459	Homo sapiens	interferon gamma receptor 1
TTC39A	22996	Homo sapiens	tetratricopeptide repeat domain 39A
KIAA0907	22889	Homo sapiens	KIAA0907
GSC	145258	Homo sapiens	goosecoid homeobox
RASL12	51285	Homo sapiens	RAS-like, family 12
GRP	2922	Homo sapiens	gastrin-releasing peptide
BVES	11149	Homo sapiens	blood vessel epicardial substance
GRN	2896	Homo sapiens	granulin
BUB1B	701	Homo sapiens	budding uninhibited by benzimidazoles 1 homolog beta (yeast)
HAGHL	84264	Homo sapiens	hydroxyacylglutathione hydrolase-like
MELK	9833	Homo sapiens	maternal embryonic leucine zipper kinase
RTN4RL1	146760	Homo sapiens	reticulon 4 receptor-like 1
MAL2	114569	Homo sapiens	mal, T-cell differentiation protein 2
ADPGK	83440	Homo sapiens	ADP-dependent glucokinase
RSAD2	91543	Homo sapiens	radical S-adenosyl methionine domain containing 2
RSAD1	55316	Homo sapiens	radical S-adenosyl methionine domain containing 1
NFIX	4784	Homo sapiens	nuclear factor I/X (CCAAT-binding transcription factor)
SH3GLB2	56904	Homo sapiens	SH3-domain GRB2-like endophilin B2
SH3GLB1	51100	Homo sapiens	SH3-domain GRB2-like endophilin B1
RTN4RL2	349667	Homo sapiens	reticulon 4 receptor-like 2
RCSD1	92241	Homo sapiens	RCSD domain containing 1
BAHD1	22893	Homo sapiens	bromo adjacent homology domain containing 1
PTPRB	5787	Homo sapiens	protein tyrosine phosphatase, receptor type, B
PTPRC	5788	Homo sapiens	protein tyrosine phosphatase, receptor type, C
PTPRD	5789	Homo sapiens	protein tyrosine phosphatase, receptor type, D
PTPRE	5791	Homo sapiens	protein tyrosine phosphatase, receptor type, E
PTPRA	5786	Homo sapiens	protein tyrosine phosphatase, receptor type, A
GPI	2821	Homo sapiens	glucose phosphate isomerase
OR3A3	8392	Homo sapiens	olfactory receptor, family 3, subfamily A, member 3
OR3A1	4994	Homo sapiens	olfactory receptor, family 3, subfamily A, member 1
TDP1	55775	Homo sapiens	tyrosyl-DNA phosphodiesterase 1
OR3A2	4995	Homo sapiens	olfactory receptor, family 3, subfamily A, member 2
GPT	2875	Homo sapiens	glutamic-pyruvate transaminase (alanine aminotransferase)
NFIC	4782	Homo sapiens	nuclear factor I/C (CCAAT-binding transcription factor)
NFIA	4774	Homo sapiens	nuclear factor I/A
SPTAN1	6709	Homo sapiens	spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)
NFIB	4781	Homo sapiens	nuclear factor I/B
SGMS2	166929	Homo sapiens	sphingomyelin synthase 2
SAA3P	6290	Homo sapiens	serum amyloid A3 pseudogene
SGMS1	259230	Homo sapiens	sphingomyelin synthase 1
LOC441461	441461	Homo sapiens	hypothetical LOC441461
AGTR1	185	Homo sapiens	angiotensin II receptor, type 1
AGTR2	186	Homo sapiens	angiotensin II receptor, type 2
MC1R	10381	Homo sapiens	tubulin, beta 3; melanocortin 1 receptor (alpha melanocyte stimulating hormone receptor)
MC1R	4157	Homo sapiens	tubulin, beta 3; melanocortin 1 receptor (alpha melanocyte stimulating hormone receptor)
CCR10	2826	Homo sapiens	chemokine (C-C motif) receptor 10
ILK	3611	Homo sapiens	integrin-linked kinase
PATZ1	23598	Homo sapiens	POZ (BTB) and AT hook containing zinc finger 1
INA	9118	Homo sapiens	internexin neuronal intermediate filament protein, alpha
F8	2157	Homo sapiens	coagulation factor VIII, procoagulant component
F9	2158	Homo sapiens	coagulation factor IX
F7	2155	Homo sapiens	coagulation factor VII (serum prothrombin conversion accelerator)
KIAA1908	114796	Homo sapiens	hypothetical LOC114796
CD320	51293	Homo sapiens	CD320 molecule
F5	2153	Homo sapiens	coagulation factor V (proaccelerin, labile factor)
F3	2152	Homo sapiens	coagulation factor III (thromboplastin, tissue factor)
F2	2147	Homo sapiens	coagulation factor II (thrombin)
MC2R	4158	Homo sapiens	melanocortin 2 receptor (adrenocorticotropic hormone)
MADCAM1	8174	Homo sapiens	mucosal vascular addressin cell adhesion molecule 1
ARL8A	127829	Homo sapiens	ADP-ribosylation factor-like 8A
ARL8B	55207	Homo sapiens	ADP-ribosylation factor-like 8B
SLC30A10	55532	Homo sapiens	solute carrier family 30, member 10
GC	2638	Homo sapiens	group-specific component (vitamin D binding protein)
PABPC5	140886	Homo sapiens	poly(A) binding protein, cytoplasmic 5
PABPC4	8761	Homo sapiens	poly(A) binding protein, cytoplasmic 4 (inducible form)
PPYR1	5540	Homo sapiens	pancreatic polypeptide receptor 1
AHCTF1	25909	Homo sapiens	AT hook containing transcription factor 1; AT hook containing transcription factor 1 pseudogene
AHCTF1	285116	Homo sapiens	AT hook containing transcription factor 1; AT hook containing transcription factor 1 pseudogene
KIAA1919	91749	Homo sapiens	KIAA1919
LOC201617	201617	Homo sapiens	hypothetical protein LOC201617
IL17C	27189	Homo sapiens	interleukin 17C
IL17D	53342	Homo sapiens	interleukin 17D
SULT4A1	25830	Homo sapiens	sulfotransferase family 4A, member 1
SGK223	157285	Homo sapiens	homolog of rat pragma of Rnd2
PEA15	8682	Homo sapiens	phosphoprotein enriched in astrocytes 15
IL17A	3605	Homo sapiens	interleukin 17A
IL17B	27190	Homo sapiens	interleukin 17B
INS	3481	Homo sapiens	insulin-like growth factor 2 (somatomedin A); insulin; INS-IGF2 readthrough transcript
INS	723961	Homo sapiens	insulin-like growth factor 2 (somatomedin A); insulin; INS-IGF2 readthrough transcript
INS	3630	Homo sapiens	insulin-like growth factor 2 (somatomedin A); insulin; INS-IGF2 readthrough transcript
IL17F	112744	Homo sapiens	interleukin 17F
PABPC3	5042	Homo sapiens	poly(A) binding protein, cytoplasmic 3
MTCP1	4515	Homo sapiens	mature T-cell proliferation 1 neighbor; mature T-cell proliferation 1
MTCP1	100272147	Homo sapiens	mature T-cell proliferation 1 neighbor; mature T-cell proliferation 1
FH	2271	Homo sapiens	fumarate hydratase
LAPTM4B	55353	Homo sapiens	lysosomal protein transmembrane 4 beta
LAPTM4A	9741	Homo sapiens	lysosomal protein transmembrane 4 alpha
VDAC3	7419	Homo sapiens	voltage-dependent anion channel 3
APCDD1L	164284	Homo sapiens	adenomatosis polyposis coli down-regulated 1-like
TSPO2	222642	Homo sapiens	benzodiazapine receptor (peripheral)-like 1
MCPH1	79648	Homo sapiens	microcephalin 1
GHDC	84514	Homo sapiens	GH3 domain containing
GK	2710	Homo sapiens	glycerol kinase 3 pseudogene; glycerol kinase
GK	2713	Homo sapiens	glycerol kinase 3 pseudogene; glycerol kinase
OPRM1	4988	Homo sapiens	opioid receptor, mu 1
KCNAB3	9196	Homo sapiens	potassium voltage-gated channel, shaker-related subfamily, beta member 3
KCNAB2	8514	Homo sapiens	potassium voltage-gated channel, shaker-related subfamily, beta member 2
KCNAB1	7881	Homo sapiens	potassium voltage-gated channel, shaker-related subfamily, beta member 1
DPP10	57628	Homo sapiens	dipeptidyl-peptidase 10
ARL5A	26225	Homo sapiens	ADP-ribosylation factor-like 5A
NCCRP1	342897	Homo sapiens	non-specific cytotoxic cell receptor protein 1 homolog (zebrafish)
MC5R	4161	Homo sapiens	melanocortin 5 receptor
KDELR1	10945	Homo sapiens	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 1
ARL5B	221079	Homo sapiens	ADP-ribosylation factor-like 5B
IHH	3549	Homo sapiens	Indian hedgehog homolog (Drosophila)
KDELR3	11015	Homo sapiens	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3
KDELR2	11014	Homo sapiens	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2
HYAL1	3373	Homo sapiens	hyaluronoglucosaminidase 1
HIST1H1E	3008	Homo sapiens	histone cluster 1, H1e
AR	367	Homo sapiens	androgen receptor
HYAL2	8692	Homo sapiens	hyaluronoglucosaminidase 2
HIST1H1D	3007	Homo sapiens	histone cluster 1, H1d
HYAL3	8372	Homo sapiens	hyaluronoglucosaminidase 3
HIST1H1C	3006	Homo sapiens	histone cluster 1, H1c
HIST1H1B	3009	Homo sapiens	histone cluster 1, H1b
HIST1H1A	3024	Homo sapiens	histone cluster 1, H1a
CNPY3	10695	Homo sapiens	canopy 3 homolog (zebrafish)
CNPY2	10330	Homo sapiens	canopy 2 homolog (zebrafish)
CNPY1	285888	Homo sapiens	canopy 1 homolog (zebrafish)
PKDCC	91461	Homo sapiens	protein kinase-like protein SgK493
OSTM1	28962	Homo sapiens	osteopetrosis associated transmembrane protein 1
HYAL4	23553	Homo sapiens	hyaluronoglucosaminidase 4
HIST1H1T	3010	Homo sapiens	histone cluster 1, H1t
IL12A	3592	Homo sapiens	interleukin 12A (natural killer cell stimulatory factor 1, cytotoxic lymphocyte maturation factor 1, p35)
SORT1	6272	Homo sapiens	sortilin 1
IL12B	3593	Homo sapiens	interleukin 12B (natural killer cell stimulatory factor 2, cytotoxic lymphocyte maturation factor 2, p40)
ARL4D	379	Homo sapiens	ADP-ribosylation factor-like 4D
ARL4C	10123	Homo sapiens	ADP-ribosylation factor-like 4C
BCMO1	53630	Homo sapiens	beta-carotene 15,15'-monooxygenase 1
C7	730	Homo sapiens	complement component 7
C9	735	Homo sapiens	complement component 9
EXOC7	23265	Homo sapiens	exocyst complex component 7
EXOC8	149371	Homo sapiens	exocyst complex component 8
C3	718	Homo sapiens	similar to Complement C3 precursor; complement component 3; hypothetical protein LOC100133511
C3	100133511	Homo sapiens	similar to Complement C3 precursor; complement component 3; hypothetical protein LOC100133511
C3	653879	Homo sapiens	similar to Complement C3 precursor; complement component 3; hypothetical protein LOC100133511
OPRK1	4986	Homo sapiens	opioid receptor, kappa 1
C6	729	Homo sapiens	complement component 6
C5	727	Homo sapiens	complement component 5
HDGFRP2	84717	Homo sapiens	hepatoma-derived growth factor-related protein 2
PCOLCE	5118	Homo sapiens	procollagen C-endopeptidase enhancer
HDGFRP3	50810	Homo sapiens	hepatoma-derived growth factor, related protein 3
LRRTM4	80059	Homo sapiens	leucine rich repeat transmembrane neuronal 4
LRRTM2	26045	Homo sapiens	leucine rich repeat transmembrane neuronal 2
LRRTM1	347730	Homo sapiens	leucine rich repeat transmembrane neuronal 1
EXOC4	60412	Homo sapiens	exocyst complex component 4
EXOC3	11336	Homo sapiens	exocyst complex component 3
EXOC6	54536	Homo sapiens	exocyst complex component 6
C2	717	Homo sapiens	complement component 2
MC3R	4159	Homo sapiens	melanocortin 3 receptor
EXOC5	10640	Homo sapiens	exocyst complex component 5
NBEAL2	23218	Homo sapiens	neurobeachin-like 2
NBEAL1	65065	Homo sapiens	neurobeachin-like 1
EXOC2	55770	Homo sapiens	exocyst complex component 2
EXOC1	55763	Homo sapiens	exocyst complex component 1
IL4	3565	Homo sapiens	interleukin 4
IL3	3562	Homo sapiens	interleukin 3 (colony-stimulating factor, multiple)
IL6	3569	Homo sapiens	interleukin 6 (interferon, beta 2)
IL5	3567	Homo sapiens	interleukin 5 (colony-stimulating factor, eosinophil)
IL8	3576	Homo sapiens	interleukin 8
OPRL1	4987	Homo sapiens	opiate receptor-like 1
IL7	3574	Homo sapiens	interleukin 7
IL9	3578	Homo sapiens	interleukin 9
NTNG1	22854	Homo sapiens	netrin G1
KIAA1967	57805	Homo sapiens	KIAA1967
NTNG2	84628	Homo sapiens	netrin G2
LOC201651	201651	Homo sapiens	similar to arylacetamide deacetylase (AADAC)
LOC401588	401588	Homo sapiens	hypothetical LOC401588
MC4R	4160	Homo sapiens	melanocortin 4 receptor
CP	1356	Homo sapiens	ceruloplasmin (ferroxidase)
IL2	3558	Homo sapiens	interleukin 2
PRC1	9055	Homo sapiens	protein regulator of cytokinesis 1
RBM15B	29890	Homo sapiens	RNA binding motif protein 15B
IDE	3416	Homo sapiens	insulin-degrading enzyme
KNTC1	9735	Homo sapiens	kinetochore associated 1
TXLNA	200081	Homo sapiens	taxilin alpha
TXLNB	167838	Homo sapiens	taxilin beta
CXCL11	6373	Homo sapiens	chemokine (C-X-C motif) ligand 11
LZTFL1	54585	Homo sapiens	leucine zipper transcription factor-like 1
CXCL12	6387	Homo sapiens	chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)
FDFT1	2222	Homo sapiens	farnesyl-diphosphate farnesyltransferase 1
CXCL10	3627	Homo sapiens	chemokine (C-X-C motif) ligand 10
IDS	3423	Homo sapiens	iduronate 2-sulfatase
CYGB	114757	Homo sapiens	cytoglobin
MB	4151	Homo sapiens	myoglobin
BEND2	139105	Homo sapiens	BEN domain containing 2
BEND4	389206	Homo sapiens	BEN domain containing 4
BEND3	57673	Homo sapiens	BEN domain containing 3
BEND6	221336	Homo sapiens	BEN domain containing 6
BST2	684	Homo sapiens	NPC-A-7; bone marrow stromal cell antigen 2
BST2	100129681	Homo sapiens	NPC-A-7; bone marrow stromal cell antigen 2
BEND5	79656	Homo sapiens	BEN domain containing 5
BST1	683	Homo sapiens	bone marrow stromal cell antigen 1
BEND7	222389	Homo sapiens	BEN domain containing 7
POLR2J4	84820	Homo sapiens	polymerase (RNA) II (DNA directed) polypeptide J4, pseudogene
PRCD	768206	Homo sapiens	progressive rod-cone degeneration
PRCC	5546	Homo sapiens	papillary renal cell carcinoma (translocation-associated)
PRCP	5547	Homo sapiens	prolylcarboxypeptidase (angiotensinase C)
ABCA8	10351	Homo sapiens	ATP-binding cassette, sub-family A (ABC1), member 8
ABCA7	10347	Homo sapiens	ATP-binding cassette, sub-family A (ABC1), member 7
HIST1H4L	8370	Homo sapiens	histone cluster 1, H4l; histone cluster 1, H4k; histone cluster 4, H4; histone cluster 1, H4h; histone cluster 1, H4j; histone cluster 1, H4i; histone cluster 1, H4d; histone cluster 1, H4c; histone cluster 1, H4f; histone cluster 1, H4e; histone cluster 1, H4b; histone cluster 1, H4a; histone cluster 2, H4a; histone cluster 2, H4b
HIST1H4L	8360	Homo sapiens	histone cluster 1, H4l; histone cluster 1, H4k; histone cluster 4, H4; histone cluster 1, H4h; histone cluster 1, H4j; histone cluster 1, H4i; histone cluster 1, H4d; histone cluster 1, H4c; histone cluster 1, H4f; histone cluster 1, H4e; histone cluster 1, H4b; histone cluster 1, H4a; histone cluster 2, H4a; histone cluster 2, H4b
HIST1H4L	121504	Homo sapiens	histone cluster 1, H4l; histone cluster 1, H4k; histone cluster 4, H4; histone cluster 1, H4h; histone cluster 1, H4j; histone cluster 1, H4i; histone cluster 1, H4d; histone cluster 1, H4c; histone cluster 1, H4f; histone cluster 1, H4e; histone cluster 1, H4b; histone cluster 1, H4a; histone cluster 2, H4a; histone cluster 2, H4b
HIST1H4L	8362	Homo sapiens	histone cluster 1, H4l; histone cluster 1, H4k; histone cluster 4, H4; histone cluster 1, H4h; histone cluster 1, H4j; histone cluster 1, H4i; histone cluster 1, H4d; histone cluster 1, H4c; histone cluster 1, H4f; histone cluster 1, H4e; histone cluster 1, H4b; histone cluster 1, H4a; histone cluster 2, H4a; histone cluster 2, H4b
HIST1H4L	8361	Homo sapiens	histone cluster 1, H4l; histone cluster 1, H4k; histone cluster 4, H4; histone cluster 1, H4h; histone cluster 1, H4j; histone cluster 1, H4i; histone cluster 1, H4d; histone cluster 1, H4c; histone cluster 1, H4f; histone cluster 1, H4e; histone cluster 1, H4b; histone cluster 1, H4a; histone cluster 2, H4a; histone cluster 2, H4b
HIST1H4L	8294	Homo sapiens	histone cluster 1, H4l; histone cluster 1, H4k; histone cluster 4, H4; histone cluster 1, H4h; histone cluster 1, H4j; histone cluster 1, H4i; histone cluster 1, H4d; histone cluster 1, H4c; histone cluster 1, H4f; histone cluster 1, H4e; histone cluster 1, H4b; histone cluster 1, H4a; histone cluster 2, H4a; histone cluster 2, H4b
HIST1H4L	8364	Homo sapiens	histone cluster 1, H4l; histone cluster 1, H4k; histone cluster 4, H4; histone cluster 1, H4h; histone cluster 1, H4j; histone cluster 1, H4i; histone cluster 1, H4d; histone cluster 1, H4c; histone cluster 1, H4f; histone cluster 1, H4e; histone cluster 1, H4b; histone cluster 1, H4a; histone cluster 2, H4a; histone cluster 2, H4b
HIST1H4L	8363	Homo sapiens	histone cluster 1, H4l; histone cluster 1, H4k; histone cluster 4, H4; histone cluster 1, H4h; histone cluster 1, H4j; histone cluster 1, H4i; histone cluster 1, H4d; histone cluster 1, H4c; histone cluster 1, H4f; histone cluster 1, H4e; histone cluster 1, H4b; histone cluster 1, H4a; histone cluster 2, H4a; histone cluster 2, H4b
HIST1H4L	8366	Homo sapiens	histone cluster 1, H4l; histone cluster 1, H4k; histone cluster 4, H4; histone cluster 1, H4h; histone cluster 1, H4j; histone cluster 1, H4i; histone cluster 1, H4d; histone cluster 1, H4c; histone cluster 1, H4f; histone cluster 1, H4e; histone cluster 1, H4b; histone cluster 1, H4a; histone cluster 2, H4a; histone cluster 2, H4b
HIST1H4L	8365	Homo sapiens	histone cluster 1, H4l; histone cluster 1, H4k; histone cluster 4, H4; histone cluster 1, H4h; histone cluster 1, H4j; histone cluster 1, H4i; histone cluster 1, H4d; histone cluster 1, H4c; histone cluster 1, H4f; histone cluster 1, H4e; histone cluster 1, H4b; histone cluster 1, H4a; histone cluster 2, H4a; histone cluster 2, H4b
HIST1H4L	8368	Homo sapiens	histone cluster 1, H4l; histone cluster 1, H4k; histone cluster 4, H4; histone cluster 1, H4h; histone cluster 1, H4j; histone cluster 1, H4i; histone cluster 1, H4d; histone cluster 1, H4c; histone cluster 1, H4f; histone cluster 1, H4e; histone cluster 1, H4b; histone cluster 1, H4a; histone cluster 2, H4a; histone cluster 2, H4b
HIST1H4L	554313	Homo sapiens	histone cluster 1, H4l; histone cluster 1, H4k; histone cluster 4, H4; histone cluster 1, H4h; histone cluster 1, H4j; histone cluster 1, H4i; histone cluster 1, H4d; histone cluster 1, H4c; histone cluster 1, H4f; histone cluster 1, H4e; histone cluster 1, H4b; histone cluster 1, H4a; histone cluster 2, H4a; histone cluster 2, H4b
HIST1H4L	8359	Homo sapiens	histone cluster 1, H4l; histone cluster 1, H4k; histone cluster 4, H4; histone cluster 1, H4h; histone cluster 1, H4j; histone cluster 1, H4i; histone cluster 1, H4d; histone cluster 1, H4c; histone cluster 1, H4f; histone cluster 1, H4e; histone cluster 1, H4b; histone cluster 1, H4a; histone cluster 2, H4a; histone cluster 2, H4b
HIST1H4L	8367	Homo sapiens	histone cluster 1, H4l; histone cluster 1, H4k; histone cluster 4, H4; histone cluster 1, H4h; histone cluster 1, H4j; histone cluster 1, H4i; histone cluster 1, H4d; histone cluster 1, H4c; histone cluster 1, H4f; histone cluster 1, H4e; histone cluster 1, H4b; histone cluster 1, H4a; histone cluster 2, H4a; histone cluster 2, H4b
ABCA9	10350	Homo sapiens	ATP-binding cassette, sub-family A (ABC1), member 9
MAPKAPK5	8550	Homo sapiens	mitogen-activated protein kinase-activated protein kinase 5
MAPKAPK3	7867	Homo sapiens	mitogen-activated protein kinase-activated protein kinase 3
ABCA2	20	Homo sapiens	ATP-binding cassette, sub-family A (ABC1), member 2
CNPY4	245812	Homo sapiens	canopy 4 homolog (zebrafish)
ABCA1	19	Homo sapiens	ATP-binding cassette, sub-family A (ABC1), member 1
MAPKAPK2	9261	Homo sapiens	mitogen-activated protein kinase-activated protein kinase 2
LOC400027	400027	Homo sapiens	hypothetical protein LOC400027
ABCA4	24	Homo sapiens	ATP-binding cassette, sub-family A (ABC1), member 4
ABCA3	21	Homo sapiens	ATP-binding cassette, sub-family A (ABC1), member 3
ABCA6	23460	Homo sapiens	ATP-binding cassette, sub-family A (ABC1), member 6
ABCA5	23461	Homo sapiens	ATP-binding cassette, sub-family A (ABC1), member 5
TTYH3	80727	Homo sapiens	tweety homolog 3 (Drosophila)
KDELC1	79070	Homo sapiens	KDEL (Lys-Asp-Glu-Leu) containing 1
KDELC2	143888	Homo sapiens	KDEL (Lys-Asp-Glu-Leu) containing 2
HIST1H4A	8370	Homo sapiens	histone cluster 1, H4l; histone cluster 1, H4k; histone cluster 4, H4; histone cluster 1, H4h; histone cluster 1, H4j; histone cluster 1, H4i; histone cluster 1, H4d; histone cluster 1, H4c; histone cluster 1, H4f; histone cluster 1, H4e; histone cluster 1, H4b; histone cluster 1, H4a; histone cluster 2, H4a; histone cluster 2, H4b
HIST1H4A	8360	Homo sapiens	histone cluster 1, H4l; histone cluster 1, H4k; histone cluster 4, H4; histone cluster 1, H4h; histone cluster 1, H4j; histone cluster 1, H4i; histone cluster 1, H4d; histone cluster 1, H4c; histone cluster 1, H4f; histone cluster 1, H4e; histone cluster 1, H4b; histone cluster 1, H4a; histone cluster 2, H4a; histone cluster 2, H4b
HIST1H4A	121504	Homo sapiens	histone cluster 1, H4l; histone cluster 1, H4k; histone cluster 4, H4; histone cluster 1, H4h; histone cluster 1, H4j; histone cluster 1, H4i; histone cluster 1, H4d; histone cluster 1, H4c; histone cluster 1, H4f; histone cluster 1, H4e; histone cluster 1, H4b; histone cluster 1, H4a; histone cluster 2, H4a; histone cluster 2, H4b
HIST1H4A	8362	Homo sapiens	histone cluster 1, H4l; histone cluster 1, H4k; histone cluster 4, H4; histone cluster 1, H4h; histone cluster 1, H4j; histone cluster 1, H4i; histone cluster 1, H4d; histone cluster 1, H4c; histone cluster 1, H4f; histone cluster 1, H4e; histone cluster 1, H4b; histone cluster 1, H4a; histone cluster 2, H4a; histone cluster 2, H4b
HIST1H4A	8361	Homo sapiens	histone cluster 1, H4l; histone cluster 1, H4k; histone cluster 4, H4; histone cluster 1, H4h; histone cluster 1, H4j; histone cluster 1, H4i; histone cluster 1, H4d; histone cluster 1, H4c; histone cluster 1, H4f; histone cluster 1, H4e; histone cluster 1, H4b; histone cluster 1, H4a; histone cluster 2, H4a; histone cluster 2, H4b
HIST1H4A	8294	Homo sapiens	histone cluster 1, H4l; histone cluster 1, H4k; histone cluster 4, H4; histone cluster 1, H4h; histone cluster 1, H4j; histone cluster 1, H4i; histone cluster 1, H4d; histone cluster 1, H4c; histone cluster 1, H4f; histone cluster 1, H4e; histone cluster 1, H4b; histone cluster 1, H4a; histone cluster 2, H4a; histone cluster 2, H4b
HIST1H4A	8364	Homo sapiens	histone cluster 1, H4l; histone cluster 1, H4k; histone cluster 4, H4; histone cluster 1, H4h; histone cluster 1, H4j; histone cluster 1, H4i; histone cluster 1, H4d; histone cluster 1, H4c; histone cluster 1, H4f; histone cluster 1, H4e; histone cluster 1, H4b; histone cluster 1, H4a; histone cluster 2, H4a; histone cluster 2, H4b
HIST1H4A	8363	Homo sapiens	histone cluster 1, H4l; histone cluster 1, H4k; histone cluster 4, H4; histone cluster 1, H4h; histone cluster 1, H4j; histone cluster 1, H4i; histone cluster 1, H4d; histone cluster 1, H4c; histone cluster 1, H4f; histone cluster 1, H4e; histone cluster 1, H4b; histone cluster 1, H4a; histone cluster 2, H4a; histone cluster 2, H4b
HIST1H4A	8366	Homo sapiens	histone cluster 1, H4l; histone cluster 1, H4k; histone cluster 4, H4; histone cluster 1, H4h; histone cluster 1, H4j; histone cluster 1, H4i; histone cluster 1, H4d; histone cluster 1, H4c; histone cluster 1, H4f; histone cluster 1, H4e; histone cluster 1, H4b; histone cluster 1, H4a; histone cluster 2, H4a; histone cluster 2, H4b
HIST1H4A	8365	Homo sapiens	histone cluster 1, H4l; histone cluster 1, H4k; histone cluster 4, H4; histone cluster 1, H4h; histone cluster 1, H4j; histone cluster 1, H4i; histone cluster 1, H4d; histone cluster 1, H4c; histone cluster 1, H4f; histone cluster 1, H4e; histone cluster 1, H4b; histone cluster 1, H4a; histone cluster 2, H4a; histone cluster 2, H4b
HIST1H4A	8368	Homo sapiens	histone cluster 1, H4l; histone cluster 1, H4k; histone cluster 4, H4; histone cluster 1, H4h; histone cluster 1, H4j; histone cluster 1, H4i; histone cluster 1, H4d; histone cluster 1, H4c; histone cluster 1, H4f; histone cluster 1, H4e; histone cluster 1, H4b; histone cluster 1, H4a; histone cluster 2, H4a; histone cluster 2, H4b
